,class,data_class,large_class,long_method,feature_envy,refused_bequest
class,net.sourceforge.ganttproject.filter.GanttPNGFileFilter,0,0,0,0,0
class,net.sourceforge.ganttproject.filter.GanttTXTFileFilter,0,0,0,0,0
class,net.sourceforge.ganttproject.document.HttpDocumentOutputStream,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.TaskDependencyConstraint$DefaultCollision,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttLookAndFeels,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttCellListRenderer,0,0,0,0,0
class,net.sourceforge.ganttproject.document.FileDocument,0,0,0,0,0
class,net.sourceforge.ganttproject.document.AbstractDocument,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttTree$GanttTreeCellRenderer,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.RolesSettingsPanel,0,0,0,0,0
class,net.sourceforge.ganttproject.export.PDFExportProcessor,0,0,0,1,0
class,net.sourceforge.ganttproject.io.GanttXMLOpen$DefaultTagHandler,0,0,1,0,0
class,net.sourceforge.ganttproject.gui.ResourcesTableModel,0,0,0,1,0
class,net.sourceforge.ganttproject.task.TaskLengthImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.action.ImportResources,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.constraint.ConstraintImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.TaskDependencySliceAsDependee,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.GeneralOptionPanel,0,0,0,1,0
class,net.sourceforge.ganttproject.export.FontMetricsStorage,0,0,0,0,0
class,net.sourceforge.ganttproject.io.GanttPDFExport,0,0,0,1,0
class,net.sourceforge.ganttproject.gui.projectwizard.NewProjectWizard,0,0,0,0,0
class,net.sourceforge.ganttproject.chart.GraphicPrimitiveContainer$GraphicPrimitive,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.about.AboutAuthorPanel$AuthorsInfo,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.options.PDFSettingsPanel$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttURLChooser,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskImpl$MutatorImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttTree$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.taskproperties.TaskDependenciesPanel$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.GanttGraphicArea$GanttPaintParam,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.server.ConnectionPanel,0,0,0,0,0
class,net.sourceforge.ganttproject.task.TaskManagerImpl,1,1,0,1,0
class,net.sourceforge.ganttproject.time.TimeUnitFunctionOfDate,0,0,0,0,0
class,net.sourceforge.ganttproject.io.GanttHTMLExport,0,0,1,1,0
class,net.sourceforge.ganttproject.io.GanttXFIGSaver,1,1,0,1,0
class,net.sourceforge.ganttproject.parser.ResourceTagHandler,0,0,0,1,0
class,net.sourceforge.ganttproject.task.event.TaskScheduleEvent,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogCalendar$Anonymous1,0,0,0,0,0
class,net.sourceforge.ganttproject.task.dependency.TaskDependencyCollectionImpl,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.about.AboutJavaInfosPanel$SystemInfo,0,0,0,0,0
class,net.sourceforge.ganttproject.filter.GanttJPGFileFilter,0,0,0,0,0
class,net.sourceforge.ganttproject.task.ResourceAssignmentCollectionImpl$MutationInfo,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttStatusBar,0,0,0,0,0
class,net.sourceforge.ganttproject.gui.GanttDialogCalendar$Anonymous2,0,0,0,0,0
class,net.sourceforge.ganttproject.resource.ProjectResource,0,0,0,1,0
